URL;NAME;TEACHER_OVERVIEW;TEACHER_MATERIALS;TEACHER_LESSON_PREPARATION;GRADE_SUBLEVELS;SUBJECTS;EDUCATIONAL_USE;LANGUAGES;KEYWORDS;LICENSE_URL;LICENSE_TITLE;PROVIDER;PROVIDER_SET;MATERIAL_TYPES;PRIMARY_USER;CREATE_DATE
https://oercommons.org/courseware/lesson/66689/overview;Peer Review and Continuous Improvement;<p>The Summer Institute session covered the following:</p><p>1.Share your first draft of your module</p><p>2.Get feedback from peers</p><p>3.Take notes so you can refine your module based on feedback</p>;;;college-upper-division|graduate-professional;education;professional-development;en;BranchED;https://creativecommons.org/licenses/by-sa/4.0;cc-by-sa;;;Module;teacher;2020-05-12T14:22:24
https://oercommons.org/courseware/lesson/66690/overview;Leadership and Advocacy;"<p>During this week&#39;s session, we brainstormed our plans for our workshop trainings, shared some structure to draft outreach communication ideas, and discussed next steps.</p>";;;college-upper-division|graduate-professional;education;professional-development;en;BranchED;https://creativecommons.org/licenses/by-sa/4.0;cc-by-sa;;;Module;teacher;2020-05-12T14:22:24
https://oercommons.org/courseware/lesson/102313/overview;What are OER?;"<p>This lesson supports faculty across Arizona IHE in exploring&nbsp;Open Educational Resources and a basic introduction to Creative Commons licenses.</p><p>&nbsp;</p><p>Educators will:</p><ol><li>learn definitions of OER and CC licenses</li><li>explore local connections to OER</li><li>practice their understanding of OER, CC and how this connects to their local experience.</li></ol>";;;community-college-lower-division|college-upper-division|graduate-professional|adult-education;educational-technology;;en;Accelerated OER Fundamentals|IHE|OER Fundamentals;https://creativecommons.org/licenses/by-nc-sa/4.0/;cc-by-nc-sa;;;Reading;;2023-03-29T14:42:56
https://oercommons.org/courseware/lesson/102181/overview;Understanding Copyright, Licensing and Creative Commons;"<p>This lesson supports Arizona faculty at IHE in exploring&nbsp;the different ways that resources can be licensed, including their own resources.</p><p>&nbsp;</p><p>Faculty will:</p><ol><li>compare and contrast different licensing restrictions</li><li>explore local connections to openly licensed resources</li><li>practice their understanding of OER, CC and how this connects to their local experience</li></ol>";;;community-college-lower-division|college-upper-division|graduate-professional|adult-education;educational-technology;;en;IHE|OER Fundamentals;https://creativecommons.org/licenses/by-nc-sa/4.0/;cc-by-nc-sa;;;Reading;;2023-03-27T15:54:10
https://oercommons.org/courseware/lesson/102314/overview;Engaging with OER and Contributing to the OER Community;"<p>This lesson supports faculty in Arizona IHE&nbsp;in exploring&nbsp;the different ways to engage with OER and contribute to the Open Education community.</p><p>&nbsp;</p><p>Faculty will:</p><ol><li>practice searching, evaluating,&nbsp;curating, remixing and authoring resources</li><li>explore local connections to openly licensed resources</li><li>practice their understanding of OER resources and how this connects to their local experience</li></ol>";;;community-college-lower-division|college-upper-division|graduate-professional|adult-education;educational-technology;;en;IHE|OER Fundamentals;https://creativecommons.org/licenses/by-nc-sa/4.0/;cc-by-nc-sa;;;Reading;;2023-03-29T14:55:10
https://oercommons.org/courseware/lesson/103434/overview;Creating and Remixing OER;"<p>This lesson supports faculty in Rural Arizona IHE&nbsp;in exploring&nbsp;the different ways to engage with OER and contribute to the Open Education community.&nbsp;</p><p>&nbsp;</p><p>Faculty will:</p><ol><li><p>practice using the OER Commons Authoring Tool and Remix Tool</p></li><li><p>reflect on their understanding of OER creation and OER remixing</p></li></ol><p>&nbsp;</p><p>The cover image of this lesson was created by Joanna Schimizzi in Canva and is licensed CC-BY. The image has a black background with galaxy-type stars and says &quot;Creating and Remixing OER&quot; in white capital letters.</p>";;;community-college-lower-division|graduate-professional|adult-education;educational-technology;;en;IHE|OER Fundamentals;https://creativecommons.org/licenses/by-nc-sa/4.0/;cc-by-nc-sa;;;Lesson;;2023-05-03T11:55:57
https://oercommons.org/courseware/lesson/122059/overview;Reviewing OER Licensing;<p>This mini-lesson is part of the OERizona Advance Course and explores the basics of the OER Definition, the concept of open licensing and the varying Creative Commons licenses.</p>;;;graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Lesson;;2024-11-20T19:26:59
https://oercommons.org/courseware/lesson/122067/overview;Reviewing OER Commons and the OERizona Hub;"<p>This resource is an overview of the OER Commons platform and the OERizona network and Hub.&nbsp;</p>";;;graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Lesson;;2024-11-21T12:01:51
https://oercommons.org/courseware/lesson/122068/overview;OER Evaluation Tools on OER Commons;"<p>This resource is part of the OERizona Advanced Course and supports OERizona faculty across Arizona in using tools and rubrics to evaluate OER.</p><p>&nbsp;</p><p>&nbsp;</p>";;;graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Lesson;;2024-11-21T12:01:51
https://oercommons.org/courseware/lesson/123174/overview;Time to Practice - OER Evaluation;"<p>This resource is part of the OERizona Advanced Course. This section supports faculty in reviewing OER of their choice. In this section, the faculty will review three OER using the OERizona Network Standards.&nbsp;</p><article>&nbsp;</article>";;;community-college-lower-division|graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Activity/Lab;teacher;2024-12-18T12:48:22
https://oercommons.org/courseware/lesson/123175/overview;Application and Reflection - Module One;"<p>This resource is part of the OERizona Advanced Course. This section is the application and reflection section for Module One.&nbsp;</p><article>&nbsp;</article>";;;community-college-lower-division|graduate-professional;education;professional-development;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Activity/Lab;teacher;2024-12-18T12:48:22
https://oercommons.org/courseware/lesson/122563/overview;Goals for OER Advanced Course Module 2 - Revising and Remixing OER;<p>This resource describes the goals and outcomes of Module Two of the OERizona Advanced Course, which focuses on Revising and Remixing OER. The following resources within the Module and Course are designed to support OERizona faculty as they advance their OER learning and experiences.</p>;;;community-college-lower-division|graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Student Guide;;2024-12-04T01:54:31
https://oercommons.org/courseware/lesson/123177/overview;Reviewing OER Licensing for License Compatibility;<p>This mini-lesson explores how the terms Creative Commons licenses support revising or remixing OER for correct attribution.</p>;;;community-college-lower-division|graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Lesson;teacher;2024-12-18T12:51:57
https://oercommons.org/courseware/lesson/123178/overview;OERizona Collection and Remixing;<p>This resource is an overview of the OERiszona Collection of resources that can be remixed to increase usage across Arizona.</p>;;;community-college-lower-division|graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Lesson;;2024-12-18T12:51:58
https://oercommons.org/courseware/lesson/123179/overview;OER Remixing Tools on OER Commons;<p>This section walks faculty through considerations and tools for the process of OER Remixing.</p>;;;community-college-lower-division|graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Lesson;;2024-12-18T12:51:58
https://oercommons.org/courseware/lesson/123180/overview;Demonstration of OER Remixing Tools;"<p>This resource is part of the OERizona Advanced Course. This section explores the tools of OER Remixing that support iteration of OER. In this section, the user can see a sample demonstration on how to use the Remix tools that are built into OER Commons.</p><article>&nbsp;</article>";;;community-college-lower-division|graduate-professional;career-and-technical-education|education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Lesson;;2024-12-18T12:51:58
https://oercommons.org/courseware/lesson/123181/overview;Time to Practice Remixing OER;<p>This resource is part of the OERizona Advanced Course. This section supports the user in using the REmix tool to share their own syllabi.</p>;;;community-college-lower-division|graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Activity/Lab;;2024-12-18T12:51:59
https://oercommons.org/courseware/lesson/123182/overview;Application and Reflection - Module Two;"<p>This resource is part of the OERizona Advanced Course. This section is the application and reflection section for Module Two.&nbsp;</p>";;;community-college-lower-division|graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Activity/Lab;;2024-12-18T12:51:59
https://oercommons.org/courseware/lesson/122564/overview;Goals for OER Advanced Course Module 3 - Creating OER;<p>This resource describes the goals and outcomes of Module 3 of the OERizona Advanced Course. The following resources within the Module and Course are designed to support OERizona faculty as they create their OER.</p>;;;community-college-lower-division|graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Student Guide;;2024-12-04T01:55:51
https://oercommons.org/courseware/lesson/123183/overview;OER Licensing for Authors;<p>This resource is part of the OERizona Advance Coursework and supports OERizona faculty across Arizona in exploring best practices for creating OER. This section explores the big ideas of selecting a license for new OER.</p>;;;community-college-lower-division|graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Lesson;;2024-12-18T12:52:44
https://oercommons.org/courseware/lesson/123184/overview;Authoring for the OERizona Hub;<p>This resource is part of the OERizona Advanced Course. This section supports the user in exploring the OERizona Hub for considerations about creating new OER.</p>;;;community-college-lower-division|graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Lesson;;2024-12-18T12:52:44
https://oercommons.org/courseware/lesson/123185/overview;OER Authoring Tools on OER Commons;<p>This resource is part of the OERizona Advanced Coursework and supports OERizona faculty across Arizona in using tools to create OER.</p>;;;community-college-lower-division|graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Lesson;;2024-12-18T12:52:44
https://oercommons.org/courseware/lesson/123186/overview;Demonstration of the Open Author Tool;<p>This resource is part of the OERizona Advanced Course. This section explores the tools that support the creation of new OER. In this section, the user can see a sample demonstration on how to use the Open Author tool that is built into OER Commons.</p>;;;community-college-lower-division|graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Lesson;;2024-12-18T12:52:44
https://oercommons.org/courseware/lesson/123188/overview;Application and Reflection - Module Three;<p>This resource is part of the OERizona Advanced Course. This section explores the tools that support the creation of new OER. In this section, the user reflects before authoring a new OER.</p>;;;community-college-lower-division|graduate-professional;education;;en;;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Activity/Lab;;2024-12-18T12:52:44
https://oercommons.org/courseware/lesson/61466/overview;The growing role of AI and ML in Data Security;"<p>&nbsp;</p><p><meta charset=""utf-8"" /></p><p dir=""ltr""><b id=""docs-internal-guid-4c33d444-7fff-7b55-202c-88c260a5bc66"">The organizations that depend largely on collecting data from various sources or are highly digitized must adopt data security. It is better to fight the risks at the initial stage than to regret the loss of data and face the consequences. If the information can not be kept safe from various attacks then the preference of the organization will decrease eventually. Even if personal information cannot be trusted in the hands of the organization then there will be dissatisfaction among customers.</b></p><p>&nbsp;</p><p dir=""ltr""><b id=""docs-internal-guid-4c33d444-7fff-7b55-202c-88c260a5bc66"">If an organization is unable to keep its customers satisfied then its value can hit rock bottom. Hence, by using Artificial Intelligence and Machine Learning the data security should be made better. These technologies will also help in decreasing the extra effort that has to be put by an organization and its employees. &nbsp; </b></p>";;;graduate-professional|career-technical;computer-science|information-science|marketing;;en;;https://creativecommons.org/licenses/by/4.0;cc-by;;;Reading;;2020-01-09T22:33:24 ;;;;;;;;;;;;;;Student Guide;;
https://oercommons.org/courseware/lesson/86967/overview;Improving Reading Skills;<p>This is a resource for improving reading skills or habits. It is suitable for students or individuals that intends to find out steps for improving reading skills.</p>;;;lower-primary|upper-primary|high-school|community-college-lower-division|college-upper-division|graduate-professional|career-technical|adult-education;health-medicine-and-nursing|information-science|languages|literature|career-and-technical-education|education|early-childhood-development|elementary-education|english-language-arts|reading-foundation-skills;professional-development|informal-education;en;Improving|Reading;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Lecture Notes;student|teacher|parent|librarian|other;2021-10-22T14:38:19 ;;;;;;;;;;;;;;Reading;;
https://oercommons.org/courseware/lesson/123812/overview;QA4U 403 Test Lesson (re-mix);<p>remix overview goes here</p>;;;graduate-professional;history;professional-development;en|ab;Kw1|Kw2|Kw3;https://creativecommons.org/publicdomain/mark/1.0/;public-domain;;;Reading;student|teacher;2025-01-15T14:23:15
https://oercommons.org/courseware/lesson/71910/overview;Complexometry experiment;<p>It is estimation of hardness of water by complexometry method</p>;;;graduate-professional;chemistry;curriculum-instruction;en;;https://creativecommons.org/licenses/by-nc-sa/4.0/;cc-by-nc-sa;;;Activity/Lab;student;2020-08-29T23:54:33
https://oercommons.org/courseware/lesson/104685/overview;Nominativ;"<p>Tabelle zur Erkl&auml;rung und Wiederholung des Nominativs, inklusive &Uuml;bung zu den Artikeln im Nominativ.</p>";;;high-school|community-college-lower-division|college-upper-division|graduate-professional|adult-education;languages|language-education-esl|language-grammar-and-vocabulary;other;de;DaF/DaZ|DaZ|Deutsch|Deutsch Als Fremdsprache|Deutsche Endungen|German|German Alphabet|Grammar|Grammar and Meaning|Grammar and Usage|Grammar and Vocabulary|Grammatik|Nominativ;https://creativecommons.org/licenses/by-sa/4.0/;cc-by-sa;;;Homework/Assignment;student|teacher;2023-06-05T12:28:38 ;;;;;;;;;;;;;;Lecture Notes;; ;;;;;;;;;;;;;;Lesson;;
https://oercommons.org/courseware/lesson/65913/overview;Marketing Mix;<p>The four Ps classification for developing an effective marketing strategy was first introduced in 1960 by marketing professor and author E. Jerome McCarthy. Depending on the industry and the target of the marketing plan, marketing managers may take various approaches to each of the four Ps. Each element can be examined independently, but in practice, they often are often dependent on one another.</p>;;;graduate-professional;marketing;;en;;https://creativecommons.org/publicdomain/mark/1.0/;cc-mark;;;Reading;;2020-05-02T04:52:18
https://oercommons.org/courseware/lesson/124310/overview;Template - OER Syllabi Sharing;<p>This template was created for Higher Ed Faculty to share OER Syllabi that they have created.</p>;;;community-college-lower-division|graduate-professional;education;;en;;https://creativecommons.org/licenses/by-sa/4.0/;cc-by-sa;;;Activity/Lab;;2025-01-31T14:25:56
https://oercommons.org/courseware/lesson/106786/overview;Workload Rating Guidelines/IEP Service Times;<p>In this resource, workload rating guidelines for both OT and PT are provided. It is recommended to discuss with new therapists that IEP minutes are written for the IEP year and not the school year. These resources should be revisited once the therapist has established their caseload.</p>;;;college-upper-division|graduate-professional|career-technical;special-education;;en;Iep|IEP Service Times|Onboarding|Orientation|Workload Rating Guidelines;https://creativecommons.org/licenses/by/4.0/;cc-by;;;Reading;student|teacher|administrator;2023-07-17T11:35:24
